"Gene" "Red1" "Red2" "Red3" "Red4" "Red5" "Yellow1" "Yellow2" "Yellow3" "Yellow4" "Yellow5"
"1" "yymcf" 1.43141860368603 1.34341153158455 1.44728196547611 1.40664283102578 1.21811890063775 1.23258803510723 1.26994410965491 1.45061909763063 1.37977609051286 1.3580329521775
"2" "uoyyr" 1.40162174189082 1.67574064713967 1.37948400870572 1.49745182948919 1.37180924070438 1.58436374517036 1.54499426893034 1.39685864119142 1.33149356249172 1.50965690456587
"3" "lwepf" 0.0690268925625516 0.074510364841441 0.0633973823025059 0.0731401258419439 0.0664610354310665 0.0717851965400171 0.0723721609896827 0.0580981642635786 0.0709844554873895 0.0760810893861296
"4" "vcrwk" 0.954935007618655 0.775311132876081 0.788831326542378 0.961231463133726 0.87481329359048 0.882771104256254 0.971731638705791 0.878036663064304 0.749616893475449 0.830512222569791
"5" "vgnlc" 1.79284464188346 2.12394476684709 1.77875109378765 1.73210280790591 2.19218237485103 1.91345254210777 2.09474419681387 1.97671758218687 2.07404913258441 2.01372937399129
"6" "nyvir" 3.19566034775439 3.33411452927791 3.42282148332414 3.44038578833255 3.17177056828835 3.24804186462862 3.28044897458608 3.24346967791108 3.1930883718051 3.03223163456894
"7" "bbumw" 0.425183017596972 0.341781923602916 0.372698095059859 0.379301409052356 0.350559822194679 0.344289007872245 0.38102912533888 0.382896212898366 0.431876978033386 0.350173623687182
"8" "wzxkr" 1.27678337369192 1.39165723614878 1.24157426455616 1.46198038408184 0.922395434880692 1.48508323021616 1.56521442842735 1.56138999858938 1.54160744523591 1.58360713917263
"9" "gkaod" 0.525715449355155 0.540905329902609 0.65070524394231 0.578233424374154 0.646797645247356 0.613574831015256 0.607281068702672 0.591816329026954 0.560514299866549 0.598296355653754
"10" "notwj" 0.374307139320055 0.421871456744294 0.383808978116611 0.351841612583598 0.33430249158578 0.251609758880401 0.187401782387586 0.191888576256537 0.246271282776688 0.284530319285744
"11" "bjike" 2.25230665282286 2.44257850441505 1.83046228068351 2.34851352800499 2.49092463731415 1.85144985929041 2.23961522195224 2.39369852633983 2.41080816833132 2.30625654072172
"12" "exkgu" 2.17737502690633 2.07155429819717 2.19745291744086 2.33045382828364 2.7248082648833 2.71875363901473 2.38766619812173 2.27947448502299 2.23310345036395 2.75276937435
"13" "tydal" 0.651072197484395 0.728683693151272 0.62339717906601 0.697696216091893 0.722817085945376 0.789097060854933 0.581209372596906 0.847876979130383 0.747006452474748 0.787750997005119
"14" "syibc" 4.09726210162194 4.18614977090643 4.92660672325399 5.00459025497374 4.61659248327031 4.86161241588667 4.97740765229193 4.44833856869846 3.55654608873142 4.22148825842316
"15" "phkmj" 0.659751378503195 0.546568792137486 0.521858430122199 0.625355426889036 0.593324972601921 0.551501905374124 0.623851167131209 0.566157678968905 0.54248657952475 0.514710322811469
"16" "xvpfe" 1.32608277046073 1.22546910550561 1.44823097475589 1.03967775119989 1.36160939991655 1.192828671112 1.3298487400233 1.23580788465548 1.16493414011762 1.2674097755365
"17" "xywvn" 2.39038470657204 1.72008685780009 1.69949367944888 2.18467983109089 2.10476713851627 1.81346997050854 1.95202660528045 1.96964762540203 2.0894267670327 2.23225512241847
"18" "hxeji" 0.297789655442801 0.317146088220083 0.27471418346944 0.269715953626203 0.309302987434398 0.263321808323722 0.304699880415835 0.285178689747988 0.298410106650477 0.324651759747174
"19" "kwbfn" 0.275900672436974 0.34046568725681 0.335875504600889 0.32123430592473 0.313134916132473 0.322624061700451 0.377527523258149 0.312402266178534 0.314815949550033 0.363385637181836
"20" "cbjrl" 2.48122353504242 2.71612654359365 1.89624630164471 2.20052792560859 1.83028147688246 3.7239146498235 3.94845475671223 3.79404786032423 3.70211999940796 3.73955545825906
"21" "wmsxr" 0.319324021385841 0.284383273351652 0.317463488450002 0.30249315956011 0.348653324300954 0.288009038192082 0.355888886872758 0.2948984812758 0.33125641562431 0.300325643859413
"22" "xtcra" 0.060865977028395 0.075514336961473 0.0910258463558681 0.0752766674135093 0.0801050137639721 0.0807062842963207 0.0739609443251644 0.0805211932786831 0.0893611843522857 0.0770449870336331
"23" "npxgc" 5.03717076364548 3.52056074959942 5.35153226928941 5.13025541484972 4.71332451470573 4.78625006490482 4.78657880357886 4.54071890031566 5.58938682115202 4.64075586924181
"24" "ifsnz" 6.91252688481396 6.69178225089842 7.07787242344044 6.13196917519079 5.9119294545441 6.6679319104836 6.50239565609229 6.21941605865184 7.41505933871647 7.08283628129243
"25" "pzkiw" 0.862504453539628 0.817431319327356 0.843424235185896 0.716598944962189 0.668672576934927 0.895896342339354 0.819633438573189 0.69802775787895 0.805167515953023 0.889329861337209
"26" "kxyvk" 0.805368327727448 0.797363452637017 0.831174985618264 0.690139723175224 0.777741867444015 0.745957592845196 0.754726968189056 0.950443603411454 0.819711563478798 0.923926457725846
"27" "jluvt" 1.22083110305807 1.65880191559786 1.29153282640425 1.57148450217312 1.50078772914026 1.57939964350847 1.50700003971337 1.14561588752944 1.53331177559728 1.71427687840515
